rt_bin,precursor_mz,rt_seconds,log10_ms1_height,ms1_n_peaks,ms2_n_peaks,ms2_log10_total_intensity,ms2_log10_max_intensity,ms2_frac_top3,n_samples_detected,log10_mean_detected_intensity,log10_max_detected_intensity,confidence_exact
43,473.19162,261.62,3.819873,5,36,6.159047,5.897812,0.657952,10,1.938958,2.539106,0.070
43,273.06839,261.37,5.480869,6351,88,6.597502,5.974381,0.383853,14,4.054385,4.393028,0.070
43,496.28994,261.67,3.748266,2,14,5.085161,4.815243,0.783452,11,2.146254,2.629846,0.028
43,213.18493,261.68,3.796366,2,14,4.824737,4.080067,0.436430,7,1.937948,2.420302,0.203
43,207.07253,261.69,4.196729,3,30,5.303836,4.562664,0.386935,12,2.509386,2.932724,0.017
43,355.12695,261.70,3.809156,5,17,4.999178,4.260900,0.456632,8,2.183572,2.613482,0.069
43,397.15953,261.71,4.188928,4,78,6.555633,5.974381,0.422701,11,2.781931,3.093958,0.092
43,471.11107,261.71,3.747567,10,19,5.380590,5.026491,0.650913,9,2.039221,2.645450,0.131
43,179.1031,260.84,3.994317,7460,52,6.309135,5.897812,0.577396,10,2.483140,2.806666,0.137
43,561.18584,261.74,3.891872,2,31,6.011171,5.489148,0.620599,10,2.337377,2.688042,0.149
43,277.10368,261.76,5.476687,3,77,6.633034,5.974381,0.353698,11,4.536212,4.666478,0.175
43,604.23199,261.75,4.958038,4,48,6.403728,6.022337,0.607238,11,3.557270,3.888599,0.023
43,869.20456,261.75,4.290925,11,67,6.546483,5.961328,0.441221,11,3.011232,3.380638,0.096
43,511.13989,261.79,4.797337,10,25,5.346909,4.587369,0.439901,15,2.779803,3.449799,0.028
43,359.1059,261.80,5.709440,6,73,6.602250,5.961328,0.388051,11,4.684761,4.765967,0.021
43,354.15033,261.80,6.092018,11,70,6.562269,5.961328,0.425470,11,5.061106,5.171642,0.214
43,387.15524,261.85,4.090258,5,29,5.298172,4.363527,0.277998,12,2.361269,2.874760,0.062
43,331.12816,261.89,4.869935,21,49,5.529609,4.783447,0.321881,13,3.163293,3.473938,0.221
43,641.2388,261.89,4.302114,4,37,5.459595,4.815243,0.400789,12,2.651574,2.995139,0.060
43,312.15358,261.93,3.812178,3,7,4.419232,3.924532,0.697870,3,2.370616,2.559582,0.045
43,560.17051,261.95,4.304059,8,31,6.304571,5.961328,0.712322,12,2.407628,2.987065,0.018
43,311.06702,261.97,3.955110,2,14,4.760638,4.151521,0.549158,11,2.099525,2.818632,0.053
43,315.13028,262.02,3.747256,3,27,5.268267,4.709941,0.562674,5,1.856343,2.202943,0.061
